,Username,Post Date,Content,Like Count,Date,DateDiff(days),Year,hashtags,hashtag_count
1954,acupofcat_cafe,2021-03-10,"全夜通  每位：
包一杯  巨峰提子🍇
 白桃果汁
  荔枝果汁 

場內大量 桌遊借用 

仲有限量萬聖節🎃特色食品

*不准在本店內享用外帶食品及飲品
21:00後至6:00 (共9小時)
178@1位 (抵到爆)

邀請大家扮鬼扮馬 

早book早享受😎 
Yo

.
.
.
.

#嘆杯貓茶 #貓cafe #葵芳 #catcafe #hkig #喵
#甜品 #貓貓cafe #tea #teatime #cake #cat #catstagram #萬聖節服裝 #萬聖節好去處 #假日好去處 #meow #生日 #partyroom 
#萬聖節 #student #party #情侶 #拍拖好去處#小食 #互讚 #哈利波特 #補習 #悶 #運動",113,2021-03-10,1.0,2021.0,"['#嘆杯貓茶', '#貓cafe', '#葵芳', '#catcafe', '#hkig', '#喵', '#甜品', '#貓貓cafe', '#tea', '#teatime', '#cake', '#cat', '#catstagram', '#萬聖節服裝', '#萬聖節好去處', '#假日好去處', '#meow', '#生日', '#partyroom', '#萬聖節', '#student', '#party', '#情侶', '#拍拖好去處#小食', '#互讚', '#哈利波特', '#補習', '#悶', '#運動']",29.0
1935,acupofcat_cafe,2021-03-11,"新手班課程
會以超小班教學方法進行

一班最多2-8位* 有意投身寵物行業養緊貓又或者想領養貓貓前既朋友都可適合報讀。
講師會邀請十年以上資深貓奴現職寵物行業既貓奴與各位準貓奴進行課堂, 會借用cafe既貓貓教學正確地清潔貓貓耳道剪指甲 鏟毛等基本護理。

-貓的習慣 性格 
-用觀察了解貓的健康狀況
-貓奴必須知道貓貓常識
-介紹貓常用護理品
-如何有效地與貓清潔耳道、剪指甲
-常見貓貓病
-流動水機的重要性及清洗認知

完成課程的同學 
-優先領養由本店義工寄養的流浪貓
-實用經驗助您與貓貓一起變老 
-完成課程同學會 交流貓經
-獲課程證書一張

—————————-

本店的領養機制:
-領養人必須完成新手班
-證明已購入基本貓貓用品
-每個月影貓貓一次相給本店(維持3個月)
-由義工決定貓貓交給那一位領養人
-可能需要負責貓貓領養前的部分醫療開支
-年齡18歲以上
-簡單文件上手續

—————————-

開班日期會安排夠2-8人為一班
時間為 晚上19:30-21:30(可能會ot)

——————————

詳細資料可透過
主頁有whatsapp 連結🔗
向客服查詢🔍

養貓係一家人既事，
唔好比無知害左隻貓

.
.
.
.
.
.

#嘆杯貓茶 #貓cafe #葵芳 #catcafe #hkig #貓課程 
#寵物課程 #貓貓cafe #養貓日常 #貓貓拳 #cake #cat #catstagram #最平 #抵食 #假日好去處 #meow #生日 #partyroom 
#學生優惠 #student #party #情侶 #拍拖好去處#小食 #貓舍 #學生會 #貓義工 #領養 #寵物",166,2021-03-11,1.0,2021.0,"['#嘆杯貓茶', '#貓cafe', '#葵芳', '#catcafe', '#hkig', '#貓課程', '#寵物課程', '#貓貓cafe', '#養貓日常', '#貓貓拳', '#cake', '#cat', '#catstagram', '#最平', '#抵食', '#假日好去處', '#meow', '#生日', '#partyroom', '#學生優惠', '#student', '#party', '#情侶', '#拍拖好去處#小食', '#貓舍', '#學生會', '#貓義工', '#領養', '#寵物']",29.0
2026,acupofcat_cafe,2021-04-06,🙏🏻,41,2021-04-06,26.0,2021.0,,0.0
1969,acupofcat_cafe,2021-04-09,"從前肥肚係一隻行平路都會仆親(加陣都周不時會)跳唔起 反應好差既 無平衡感既貓貓；佢傻更更咁款 睇到佢生活得好開心，一直慢慢慢慢咁進步 到今個晚上親眼見到佢爬樹! 好勇敢 好可愛; 雖然上左去要我扶佢 最後要靠奴材我 抱抱佢落地先搞得掂! 

不過就好似父母見到仔女識多左樣野咁 有種安慰同喜悅~ 

太滾動了!!🥺

.
.
.
.
#嘆杯貓茶 #貓cafe #葵芳 #catcafe #hkig #喵
#甜品 #貓貓cafe #tea #teatime #cake #cat #catstagram #最平 #抵食 #假日好去處 #meow #生日 #partyroom 
#學生優惠 #student #party #情侶 #拍拖好去處#小食 #互讚 #學生會 #補習 #悶 #運動",103,2021-04-09,3.0,2021.0,"['#嘆杯貓茶', '#貓cafe', '#葵芳', '#catcafe', '#hkig', '#喵', '#甜品', '#貓貓cafe', '#tea', '#teatime', '#cake', '#cat', '#catstagram', '#最平', '#抵食', '#假日好去處', '#meow', '#生日', '#partyroom', '#學生優惠', '#student', '#party', '#情侶', '#拍拖好去處#小食', '#互讚', '#學生會', '#補習', '#悶', '#運動']",29.0
2025,acupofcat_cafe,2021-05-06,"女朋友系列  由貓貓傾力演出🐈
.
.
.
.

#嘆杯貓茶 #貓cafe #葵芳 #catcafe #hkig #喵
#甜品 #貓貓cafe #tea #teatime #cake #cat #catstagram #最平 #假日好去處 #meow #生日
#學生優惠 #student #party #情侶 #拍拖好去處
#小食 #互讚 #學生會",59,2021-05-06,27.0,2021.0,"['#嘆杯貓茶', '#貓cafe', '#葵芳', '#catcafe', '#hkig', '#喵', '#甜品', '#貓貓cafe', '#tea', '#teatime', '#cake', '#cat', '#catstagram', '#最平', '#假日好去處', '#meow', '#生日', '#學生優惠', '#student', '#party', '#情侶', '#拍拖好去處', '#小食', '#互讚', '#學生會']",25.0
1968,acupofcat_cafe,2021-05-09,"黑白配 男仔女仔配

玩法：玩家邊說「黑白配」，邊同時以猜拳方式決定輸贏。
勝方先向對方伸出食指，一邊喊出「男生女生配」，一邊指向上、下、左、右任意一個方位；敗方的頭亦需同時轉向任意一個方位。
若敗方轉向與勝方所指的方向相同，則勝方勝利。反之則重新開始遊戲

以前無手提電話既年代 人人玩既都係玩手指, 睇下好白痴；不過人與人既接觸 同今時今日 真係差好遠…

所以約埋朋友過黎「嘆杯茶食個包」
正所謂 朋友係用黎見架!! 

.
.
.
.
#嘆杯貓茶 #貓cafe #葵芳 #catcafe #hkig #喵
#甜品 #貓貓cafe #tea #teatime #cake #cat #catstagram #最平 #抵食 #假日好去處 #meow #生日 #partyroom 
#學生優惠 #student #party #情侶 #拍拖好去處#小食 #互讚 #學生會 #補習 #悶 #運動",72,2021-05-09,3.0,2021.0,"['#嘆杯貓茶', '#貓cafe', '#葵芳', '#catcafe', '#hkig', '#喵', '#甜品', '#貓貓cafe', '#tea', '#teatime', '#cake', '#cat', '#catstagram', '#最平', '#抵食', '#假日好去處', '#meow', '#生日', '#partyroom', '#學生優惠', '#student', '#party', '#情侶', '#拍拖好去處#小食', '#互讚', '#學生會', '#補習', '#悶', '#運動']",29.0
2023,acupofcat_cafe,2021-06-06,"練拳減肥既貓貓🐱
.
.
.
.

#嘆杯貓茶 #貓cafe #葵芳 #catcafe #hkig #喵
#甜品 #貓貓cafe #tea #teatime #cake #cat #catstagram #最平 #抵食 #假日好去處 #meow #生日 #partyroom 
#學生優惠 #student #party #情侶 #拍拖好去處 #小食 #互讚 #學生會",32,2021-06-06,28.0,2021.0,"['#嘆杯貓茶', '#貓cafe', '#葵芳', '#catcafe', '#hkig', '#喵', '#甜品', '#貓貓cafe', '#tea', '#teatime', '#cake', '#cat', '#catstagram', '#最平', '#抵食', '#假日好去處', '#meow', '#生日', '#partyroom', '#學生優惠', '#student', '#party', '#情侶', '#拍拖好去處', '#小食', '#互讚', '#學生會']",27.0
2009,acupofcat_cafe,2021-06-07,"不管你有無貓；孝順老人家很重要❗️
.
.
.
.

#嘆杯貓茶 #貓cafe #葵芳 #catcafe #hkig #喵
#甜品 #貓貓cafe #tea #teatime #cake #cat #catstagram #最平 #抵食 #假日好去處 #meow #生日 #partyroom 
#學生優惠 #student #party #情侶 #拍拖好去處#小食 #互讚 #學生會 #補習 #悶 #運動",53,2021-06-07,1.0,2021.0,"['#嘆杯貓茶', '#貓cafe', '#葵芳', '#catcafe', '#hkig', '#喵', '#甜品', '#貓貓cafe', '#tea', '#teatime', '#cake', '#cat', '#catstagram', '#最平', '#抵食', '#假日好去處', '#meow', '#生日', '#partyroom', '#學生優惠', '#student', '#party', '#情侶', '#拍拖好去處#小食', '#互讚', '#學生會', '#補習', '#悶', '#運動']",29.0
2003,acupofcat_cafe,2021-06-08,"伊藤選手要出必殺技 貓貓變幻球xD
.
.
.
.

#嘆杯貓茶 #貓cafe #葵芳 #catcafe #hkig #喵
#甜品 #貓貓cafe #tea #teatime #cake #cat #catstagram #最平 #抵食 #假日好去處 #meow #生日 #partyroom 
#學生優惠 #student #party #情侶 #拍拖好去處#小食 #互讚 #學生會 #補習 #悶 #運動",75,2021-06-08,1.0,2021.0,"['#嘆杯貓茶', '#貓cafe', '#葵芳', '#catcafe', '#hkig', '#喵', '#甜品', '#貓貓cafe', '#tea', '#teatime', '#cake', '#cat', '#catstagram', '#最平', '#抵食', '#假日好去處', '#meow', '#生日', '#partyroom', '#學生優惠', '#student', '#party', '#情侶', '#拍拖好去處#小食', '#互讚', '#學生會', '#補習', '#悶', '#運動']",29.0
1967,acupofcat_cafe,2021-06-09,"舊照一張: 相中係師傅2個月前, 貪玩百厭為食,由細到中都無變過

細細個就識企係度玩 遲早教壞豆丁❗️

.
.
.
.

#嘆杯貓茶 #貓cafe #葵芳 #catcafe #hkig #喵
#甜品 #貓貓cafe #tea #teatime #cake #cat #catstagram #最平 #抵食 #假日好去處 #meow #生日 #partyroom 
#學生優惠 #student #party #情侶 #拍拖好去處#小食 #互讚 #學生會 #補習 #悶 #運動",88,2021-06-09,1.0,2021.0,"['#嘆杯貓茶', '#貓cafe', '#葵芳', '#catcafe', '#hkig', '#喵', '#甜品', '#貓貓cafe', '#tea', '#teatime', '#cake', '#cat', '#catstagram', '#最平', '#抵食', '#假日好去處', '#meow', '#生日', '#partyroom', '#學生優惠', '#student', '#party', '#情侶', '#拍拖好去處#小食', '#互讚', '#學生會', '#補習', '#悶', '#運動']",29.0
2002,acupofcat_cafe,2021-07-08,"出黎行至緊要疊馬 
啊~ 疊貓先真 

學人類舊屎打仗用兵馬俑
我地貓星人都識用啦🐱😮‍💨

.
.
.
.

#嘆杯貓茶 #貓cafe #葵芳 #catcafe #hkig #喵
#甜品 #貓貓cafe #tea #teatime #cake #cat #catstagram #最平 #抵食 #假日好去處 #meow #生日 #partyroom 
#學生優惠 #student #party #情侶 #拍拖好去處#小食 #互讚 #學生會 #補習 #悶 #運動",36,2021-07-08,29.0,2021.0,"['#嘆杯貓茶', '#貓cafe', '#葵芳', '#catcafe', '#hkig', '#喵', '#甜品', '#貓貓cafe', '#tea', '#teatime', '#cake', '#cat', '#catstagram', '#最平', '#抵食', '#假日好去處', '#meow', '#生日', '#partyroom', '#學生優惠', '#student', '#party', '#情侶', '#拍拖好去處#小食', '#互讚', '#學生會', '#補習', '#悶', '#運動']",29.0
2021,acupofcat_cafe,2021-08-06,"學生相既大頭 影果陣 大家都會諗: 影好睇啲 拜托! 
.
.
.
.
.

#嘆杯貓茶 #貓cafe #葵芳 #catcafe #hkig #喵
#甜品 #貓貓cafe #tea #teatime #cake #cat #catstagram #最平 #抵食 #假日好去處 #meow #生日 #partyroom 
#學生優惠 #student #party #情侶 #拍拖好去處#小食 #互讚 #學生會",37,2021-08-06,29.0,2021.0,"['#嘆杯貓茶', '#貓cafe', '#葵芳', '#catcafe', '#hkig', '#喵', '#甜品', '#貓貓cafe', '#tea', '#teatime', '#cake', '#cat', '#catstagram', '#最平', '#抵食', '#假日好去處', '#meow', '#生日', '#partyroom', '#學生優惠', '#student', '#party', '#情侶', '#拍拖好去處#小食', '#互讚', '#學生會']",26.0
2020,acupofcat_cafe,2021-09-06,"又黎到星期三喇,仲有幾日就放假 加油啊😵‍💫
.
.
.
.
.

#嘆杯貓茶 #貓cafe #葵芳 #catcafe #hkig #喵
#甜品 #貓貓cafe #tea #teatime #cake #cat #catstagram #最平 #抵食 #假日好去處 #meow #生日 #partyroom 
#學生優惠 #student #party #情侶 #拍拖好去處#小食 #互讚 #學生會",31,2021-09-06,31.0,2021.0,"['#嘆杯貓茶', '#貓cafe', '#葵芳', '#catcafe', '#hkig', '#喵', '#甜品', '#貓貓cafe', '#tea', '#teatime', '#cake', '#cat', '#catstagram', '#最平', '#抵食', '#假日好去處', '#meow', '#生日', '#partyroom', '#學生優惠', '#student', '#party', '#情侶', '#拍拖好去處#小食', '#互讚', '#學生會']",26.0
2001,acupofcat_cafe,2021-09-08,"貓咪文明既進步史

.
.
.
.

#嘆杯貓茶 #貓cafe #葵芳 #catcafe #hkig #喵
#甜品 #貓貓cafe #tea #teatime #cake #cat #catstagram #最平 #抵食 #假日好去處 #meow #生日 #partyroom 
#學生優惠 #student #party #情侶 #拍拖好去處#小食 #互讚 #學生會 #補習 #悶 #運動",60,2021-09-08,2.0,2021.0,"['#嘆杯貓茶', '#貓cafe', '#葵芳', '#catcafe', '#hkig', '#喵', '#甜品', '#貓貓cafe', '#tea', '#teatime', '#cake', '#cat', '#catstagram', '#最平', '#抵食', '#假日好去處', '#meow', '#生日', '#partyroom', '#學生優惠', '#student', '#party', '#情侶', '#拍拖好去處#小食', '#互讚', '#學生會', '#補習', '#悶', '#運動']",29.0
1966,acupofcat_cafe,2021-09-09,"Hiii 我叫師母,係緬因貓..師傅係我哥哥佢太Kai唔係好想比佢知我地係兄妹 我平時唔係好So人因為未同你熟 你部我玩陣 我就會當你係朋友😛

性格：好奇、怕羞  乖巧唔百厭
喜愛：打師傅、理髮同吸塵機
討厭：抱抱

.
.
.
.
#嘆杯貓茶 #貓cafe #葵芳 #catcafe #hkig #喵
#甜品 #貓貓cafe #tea #teatime #cake #cat #catstagram #最平 #抵食 #假日好去處 #meow #生日 #partyroom 
#學生優惠 #student #party #情侶 #拍拖好去處#小食 #互讚 #學生會 #補習 #悶 #運動",106,2021-09-09,1.0,2021.0,"['#嘆杯貓茶', '#貓cafe', '#葵芳', '#catcafe', '#hkig', '#喵', '#甜品', '#貓貓cafe', '#tea', '#teatime', '#cake', '#cat', '#catstagram', '#最平', '#抵食', '#假日好去處', '#meow', '#生日', '#partyroom', '#學生優惠', '#student', '#party', '#情侶', '#拍拖好去處#小食', '#互讚', '#學生會', '#補習', '#悶', '#運動']",29.0
1923,acupofcat_cafe,2021-09-12,"當你出街無哂節目 又唔知去邊好?

黎嘆杯貓茶就岩喇! 
同貓貓一齊呆下
立刻令您疲倦既心情得到治療🤤

仲唔快啲黎預約!? 
主頁有whatsapp連結🔗自助訂枱 

嘆貓貓 嘆貓茶 
嘆杯貓茶 

生活。工作。日常 
您；需要吸下貓貓🐱",889,2021-09-12,3.0,2021.0,,0.0
2000,acupofcat_cafe,2021-10-08,"呢兩日有時都會感覺到
空虛、寂寞、凍 😟
原來先知道奧運會真係完左
唯有睇下貓貓la :p
.
.
.
.

#嘆杯貓茶 #貓cafe #葵芳 #catcafe #hkig #喵
#甜品 #貓貓cafe #tea #teatime #cake #cat #catstagram #最平 #抵食 #假日好去處 #meow #生日 #partyroom 
#學生優惠 #student #party #情侶 #拍拖好去處#小食 #互讚 #學生會 #補習 #悶 #運動",41,2021-10-08,26.0,2021.0,"['#嘆杯貓茶', '#貓cafe', '#葵芳', '#catcafe', '#hkig', '#喵', '#甜品', '#貓貓cafe', '#tea', '#teatime', '#cake', '#cat', '#catstagram', '#最平', '#抵食', '#假日好去處', '#meow', '#生日', '#partyroom', '#學生優惠', '#student', '#party', '#情侶', '#拍拖好去處#小食', '#互讚', '#學生會', '#補習', '#悶', '#運動']",29.0
1965,acupofcat_cafe,2021-10-09,"Hii, 我係Mochi 係布偶貓; 有人類讚我白滑
又有人類笑我肥 , 圖中係我雪球型態, 其實我好多唔同變身 睇下你地影到我幾多樣 
要睇我真面貌 咁你要留意多啲嘆杯貓茶cafe 限時動態喇! 

性格：膽小, 為食, 懶洋洋, 溫柔
喜愛：訓路中間, 食嘢, 食野
討厭：炭炭間歇性性攻擊 
  炭炭間歇性強吻 
 

.
.
.
.

#嘆杯貓茶 #貓cafe #葵芳 #catcafe #hkig #喵
#甜品 #貓貓cafe #tea #teatime #cake #cat #catstagram #最平 #抵食 #假日好去處 #meow #化妝品代購 #partyroom 
#學生優惠 #女生日常 #party #情侶 #拍拖好去處#小食 #互讚 #學生會 #鏡粉 #悶 #中秋好去處",149,2021-10-09,1.0,2021.0,"['#嘆杯貓茶', '#貓cafe', '#葵芳', '#catcafe', '#hkig', '#喵', '#甜品', '#貓貓cafe', '#tea', '#teatime', '#cake', '#cat', '#catstagram', '#最平', '#抵食', '#假日好去處', '#meow', '#化妝品代購', '#partyroom', '#學生優惠', '#女生日常', '#party', '#情侶', '#拍拖好去處#小食', '#互讚', '#學生會', '#鏡粉', '#悶', '#中秋好去處']",29.0
2018,acupofcat_cafe,2021-11-06,"一號風球 鬼咁焗 聽日實落雨啦😵‍💫😵‍💫😵‍💫
Oh No ~~~~~
.
.
.
.
.

#嘆杯貓茶 #貓cafe #葵芳 #catcafe #hkig #喵
#甜品 #貓貓cafe #tea #teatime #cake #cat #catstagram #最平 #抵食 #假日好去處 #meow #生日 #partyroom 
#學生優惠 #student #party #情侶 #拍拖好去處#小食 #互讚 #學生會",27,2021-11-06,28.0,2021.0,"['#嘆杯貓茶', '#貓cafe', '#葵芳', '#catcafe', '#hkig', '#喵', '#甜品', '#貓貓cafe', '#tea', '#teatime', '#cake', '#cat', '#catstagram', '#最平', '#抵食', '#假日好去處', '#meow', '#生日', '#partyroom', '#學生優惠', '#student', '#party', '#情侶', '#拍拖好去處#小食', '#互讚', '#學生會']",26.0
1999,acupofcat_cafe,2021-11-08,"認真 你就輸了 😆 

.
.
.
.

#嘆杯貓茶 #貓cafe #葵芳 #catcafe #hkig #喵
#甜品 #貓貓cafe #tea #teatime #cake #cat #catstagram #最平 #抵食 #假日好去處 #meow #生日 #partyroom 
#學生優惠 #student #party #情侶 #拍拖好去處#小食 #互讚 #學生會 #補習 #悶 #運動",66,2021-11-08,2.0,2021.0,"['#嘆杯貓茶', '#貓cafe', '#葵芳', '#catcafe', '#hkig', '#喵', '#甜品', '#貓貓cafe', '#tea', '#teatime', '#cake', '#cat', '#catstagram', '#最平', '#抵食', '#假日好去處', '#meow', '#生日', '#partyroom', '#學生優惠', '#student', '#party', '#情侶', '#拍拖好去處#小食', '#互讚', '#學生會', '#補習', '#悶', '#運動']",29.0
1998,acupofcat_cafe,2021-12-08,"化妝後認得你  叫化妝 
化妝後認你唔到 叫喬裝
.
.
.
.

#嘆杯貓茶 #貓cafe #葵芳 #catcafe #hkig #喵
#甜品 #貓貓cafe #tea #teatime #cake #cat #catstagram #最平 #抵食 #假日好去處 #meow #生日 #partyroom 
#學生優惠 #student #party #情侶 #拍拖好去處#小食 #互讚 #學生會 #補習 #悶 #運動",55,2021-12-08,30.0,2021.0,"['#嘆杯貓茶', '#貓cafe', '#葵芳', '#catcafe', '#hkig', '#喵', '#甜品', '#貓貓cafe', '#tea', '#teatime', '#cake', '#cat', '#catstagram', '#最平', '#抵食', '#假日好去處', '#meow', '#生日', '#partyroom', '#學生優惠', '#student', '#party', '#情侶', '#拍拖好去處#小食', '#互讚', '#學生會', '#補習', '#悶', '#運動']",29.0
